2026-06-04 13:28:35.465 MSK [6496] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 0 (0.0%), записано SLRU-буферов: 0; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.002 сек., синхр.=0.001 сек., всего=3.081 сек.; синхронизировано_файлов=0, самая_долгая_синхр.=0.000 сек., средняя=0.000 сек.; расстояние=0 КБ, ожидалось=10 КБ; lsn=0/3646720, lsn redo=0/3646720
2026-06-04 13:28:35.477 MSK [6624] СООБЩЕНИЕ:  фоновый процесс "logical replication launcher" (PID 4108) завершился с кодом выхода 1
2026-06-04 13:28:35.742 MSK [6624] СООБЩЕНИЕ:  система БД выключена
2026-06-04 13:33:24.476 MSK [13180] СООБЩЕНИЕ:  запускается PostgreSQL 18.3 on x86_64-windows, compiled by msvc-19.44.35225, 64-bit
2026-06-04 13:33:24.484 MSK [13180] СООБЩЕНИЕ:  для приёма подключений по адресу IPv6 "::1" открыт порт 5432
2026-06-04 13:33:24.484 MSK [13180] СООБЩЕНИЕ:  для приёма подключений по адресу IPv4 "127.0.0.1" открыт порт 5432
2026-06-04 13:33:24.908 MSK [12148] СООБЩЕНИЕ:  система БД была выключена: 2026-06-04 13:28:35 MSK
2026-06-04 13:33:24.983 MSK [13180] СООБЩЕНИЕ:  система БД готова принимать подключения
2026-06-04 13:38:24.861 MSK [10048] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-04 13:40:04.807 MSK [10048] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 892 (5.4%), записано SLRU-буферов: 22; добавлено файлов WAL 0, удалено: 0, переработано: 1; запись=99.857 сек., синхр.=0.009 сек., всего=99.959 сек.; синхронизировано_файлов=17, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=16271 КБ, ожидалось=16271 КБ; lsn=0/462D830, lsn redo=0/462A5F8
2026-06-04 13:43:24.823 MSK [10048] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-04 13:43:26.082 MSK [10048] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 11 (0.1%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=1.222 сек., синхр.=0.024 сек., всего=1.259 сек.; синхронизировано_файлов=10, самая_долгая_синхр.=0.006 сек., средняя=0.003 сек.; расстояние=49 КБ, ожидалось=14649 КБ; lsn=0/4636D18, lsn redo=0/4636CC0
2026-06-04 13:48:24.097 MSK [10048] СООБЩЕНИЕ:  начата контрольная точка: time
2026-06-04 13:48:24.712 MSK [10048] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 5 (0.0%), записано SLRU-буферов: 1; добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.564 сек., синхр.=0.006 сек., всего=0.616 сек.; синхронизировано_файлов=6, самая_долгая_синхр.=0.002 сек., средняя=0.001 сек.; расстояние=12 КБ, ожидалось=13185 КБ; lsn=0/4639F20, lsn redo=0/4639EC8
2026-06-04 13:50:16.704 MSK [13180] СООБЩЕНИЕ:  процесс запуска автоочистки (PID 12172) был прерван исключением 0xC000013A
2026-06-04 13:50:16.704 MSK [13180] ПОДСКАЗКА:  Описание этого шестнадцатеричного значения ищите во включаемом C-файле "ntstatus.h"
2026-06-04 13:50:16.705 MSK [13180] СООБЩЕНИЕ:  завершение всех остальных активных серверных процессов
^C2026-06-05 12:18:08.407 MSK [10740] СООБЩЕНИЕ:  запускается PostgreSQL 18.3 on x86_64-windows, compiled by msvc-19.44.35225, 64-bit
2026-06-05 12:18:08.417 MSK [10740] СООБЩЕНИЕ:  для приёма подключений по адресу IPv6 "::1" открыт порт 5432
2026-06-05 12:18:08.417 MSK [10740] СООБЩЕНИЕ:  для приёма подключений по адресу IPv4 "127.0.0.1" открыт порт 5432
2026-06-05 12:18:08.898 MSK [188] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2026-06-04 13:48:24 MSK
2026-06-05 12:18:11.935 MSK [188] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
